Billing Account-Id,Booking Account-Id,Date,Payments,Payment mode,Payment Txn Id,International,Remarks,InvoiceId,Taxable value,Tax amount,Invoice amount
,3247120,25 Sep 2024,"7,392.00",ONLINE,pay_P1K4SPVzvqc2X7,false,,7483,"6,600.00",792.00,"7,392.00"
,3247478,25 Sep 2024,"7,894.34",ONLINE,pay_P1KV7No0ZbYe5D,false,,7482,0.00,0.00,0.00
,3247499,25 Sep 2024,"5,038.33",ONLINE,pay_P1LG7BYgsI8uuK,false,,7497,"4,498.50",539.82,"5,038.33"
,3252021,26 Sep 2024,"3,947.17",ONLINE,pay_P1oOGpQdAHYrb4,false,,7498,"3,524.25",422.92,"3,947.17"
,3252854,27 Sep 2024,"8,396.66",ONLINE,pay_P25qbzEYakvHU2,false,,7504,"10,002.50","1,118.74","11,121.27"
,3255206,27 Sep 2024,"3,359.17",ONLINE,pay_P2BFqoyo4XCRmi,false,,7486,"3,366.75",378.30,"3,745.05"
,3256774,28 Sep 2024,"3,696.00",ONLINE,pay_P2WVqoKQxdG8qd,false,,7532,"3,845.00",423.26,"4,268.25"
,3259055,29 Sep 2024,"29,396.64",ONLINE,pay_P33RpxTKScJwBX,false,,,-,-,-
,3247478,30 Sep 2024,"-7,894.34",ONLINE,rfnd_P3N9MFsA9irN0J,false,,7482,0.00,0.00,0.00
,,,"451,602.03",ONLINE,,,,,,,
,,,,,,,,,,,
,2770675,12 Sep 2024,"77,700.00",ETRANSFER,00037589545001DC DT.11-09-2024,false,,,-,-,-
,3228337,19 Sep 2024,"11,600.00",ETRANSFER,0919i28898854501 DT.19-09-2024,false,,,-,-,-
,3206322,26 Sep 2024,"22,500.00",ETRANSFER,"426913212939	25-09-2024",false,,,-,-,-
,,,"111,800.00",ETRANSFER,,,,,,,
,,,,,,,,,,,
,3178582,01 Sep 2024,"5,527.50",TRANSFER_FROM,3178599,false,,7258,"5,500.00",660.00,"6,160.00"
,3176045,02 Sep 2024,"7,155.00",TRANSFER_FROM,3182763,false,,7259,"6,434.48",720.72,"7,155.18"
,3178582,02 Sep 2024,90.00,TRANSFER_FROM,3178599,false,,7258,"5,500.00",660.00,"6,160.00"
,3205845,13 Sep 2024,"6,956.00",TRANSFER_FROM,3208286,false,,7360,"6,210.96",745.32,"6,956.28"
,3205845,13 Sep 2024,0.28,TRANSFER_FROM,3208286,false,,7360,"6,210.96",745.32,"6,956.28"
,3212708,19 Sep 2024,"3,864.58",TRANSFER_FROM,3212709,false,,7427,"3,450.52",414.08,"3,864.60"
,3226987,20 Sep 2024,"3,920.00",TRANSFER_FROM,3226979,false,,7418,"3,500.00",420.00,"3,920.00"
,3226977,20 Sep 2024,"3,920.00",TRANSFER_FROM,3226979,false,,7420,"3,500.00",420.00,"3,920.00"
,3242238,28 Sep 2024,"2,050.73",TRANSFER_FROM,3225214,false,,7530,"1,953.00",97.70,"2,050.73"
,,,"33,484.09",TRANSFER_FROM,,,,,,,
,,,,,,,,,,,
,3178599,01 Sep 2024,"-5,527.50",TRANSFER_TO,3178582,false,SAME AGENT BOOKING IN DIFFERENT ID'S,7257,"6,000.00",720.00,"6,720.00"
,3182763,02 Sep 2024,"-7,155.00",TRANSFER_TO,3176045,false,SAME GUEST STAYING IN DIFFERENT RESERVATION ID'S,7263,"4,424.31",420.70,"4,845.04"
,3178599,02 Sep 2024,-90.00,TRANSFER_TO,3178582,false,A H B T,7257,"6,000.00",720.00,"6,720.00"
,3208286,13 Sep 2024,"-6,956.00",TRANSFER_TO,3205845,false,Same guest stayed in different Id's,7364,"9,062.46","1,044.16","10,106.64"
,3208286,13 Sep 2024,-0.28,TRANSFER_TO,3205845,false,SAME GUEST STAYING IN DIFFERENT ID'S,7364,"9,062.46","1,044.16","10,106.64"
,3212709,19 Sep 2024,"-3,864.58",TRANSFER_TO,3212708,false,SAME GUEST STAYING IN DIFFERENT RES ID'S,7426,"5,348.94",584.96,"5,933.90"
,3226979,20 Sep 2024,"-3,920.00",TRANSFER_TO,3226987,false,Same agent booking in different id's,7416,"3,500.00",420.00,"3,920.00"
,3226979,20 Sep 2024,"-3,920.00",TRANSFER_TO,3226977,false,Same agent booking in different id's,7416,"3,500.00",420.00,"3,920.00"
,3225214,28 Sep 2024,"-2,050.73",TRANSFER_TO,3242238,false,same guest booking transferred to add ons,7480,"14,873.64","1,784.88","16,658.48"
,,,"-33,484.09",TRANSFER_TO,,,,,,,
,,,,,,,,,,,
,3178599,02 Sep 2024,60.00,TDS,Casa2 Stays Private Limited,false,,7257,"6,000.00",720.00,"6,720.00"
,3178582,02 Sep 2024,55.00,TDS,Casa2 Stays Private Limited,false,,7258,"5,500.00",660.00,"6,160.00"
,,,115.00,TDS,,,,,,,
,,,,,,,,,,,
,3174957,01 Sep 2024,"3,890.00",UPI,75258298519,false,,7253,"3,473.23",416.80,"3,890.02"
,3167467,02 Sep 2024,"2,568.90",UPI,461200115201,false,,7260,"2,446.50",122.38,"2,568.90"
,3180898,03 Sep 2024,"9,722.50",UPI,424735272450,false,,7275,"8,848.71",873.76,"9,722.50"
,3184451,04 Sep 2024,"1,670.32",UPI,424837174450,false,,7280,"5,640.00",565.48,"6,205.49"
,3183233,05 Sep 2024,"3,559.50",UPI,424985014717,false,,7286,"3,178.11",381.38,"3,559.50"
,3187753,05 Sep 2024,"15,412.44",UPI,424991129742,false,,7289,"13,964.05","1,448.32","15,412.44"
,3193132,05 Sep 2024,"4,068.00",UPI,424996450668,false,,7292,"3,632.14",435.86,"4,068.00"
,3190319,06 Sep 2024,799.00,UPI,461656504724,false,,7295,761.25,38.08,799.34
,3196419,07 Sep 2024,"3,864.60",UPI,461734644305,false,,7294,"3,450.52",414.08,"3,864.60"
,3195516,07 Sep 2024,435.52,UPI,425109862416,false,,7297,414.75,20.76,435.52
,3190738,07 Sep 2024,678.08,UPI,461759925707,false,,7305,645.75,32.32,678.08
,3199817,08 Sep 2024,"3,478.14",UPI,28068293182,false,,7317,"3,105.48",372.66,"3,478.14"
,3196328,08 Sep 2024,"10,346.74",UPI,425248854483,false,,7314,"9,385.44",961.26,"10,346.74"
,3129911,08 Sep 2024,275.64,UPI,425237742772,false,,7315,"10,862.50","1,285.14","12,147.64"
,3201269,09 Sep 2024,"5,422.89",UPI,425252883999,false,,7329,"4,967.86",587.34,"5,555.19"
,3195803,09 Sep 2024,110.25,UPI,461981754569,false,,7335,105.00,5.26,110.27
,3171347,11 Sep 2024,"4,358.13",UPI,462155426341,false,,7349,"3,919.03",439.08,"4,358.13"
,3207508,12 Sep 2024,435.49,UPI,425673595179,false,,7359,"3,189.75",353.74,"3,543.49"
,3208286,13 Sep 2024,"4,063.00",UPI,425772082473,false,,7364,"9,062.46","1,044.16","10,106.64"
,3189629,14 Sep 2024,"5,262.47",UPI,425868604360,false,,7366,"4,698.63",563.84,"5,262.47"
,3189966,16 Sep 2024,578.82,UPI,462624678988,false,,7377,"8,349.75",963.42,"9,313.18"
,3201001,16 Sep 2024,"4,164.11",UPI,149478468892,false,,7386,"3,717.95",446.16,"4,164.11"
,3220609,17 Sep 2024,330.75,UPI,426110245663,false,,7387,315.00,15.76,330.77
,3208387,18 Sep 2024,"5,603.00",UPI,462836306065,false,,7393,"19,090.59","2,217.46","21,308.03"
,3209079,18 Sep 2024,"7,600.00",UPI,426278158170,false,Payment done on 18th September 2024,7390,"10,178.58","1,221.48","11,400.06"
,3209079,18 Sep 2024,"3,800.00",UPI,426278237404,false,payment done on 18th September 2024,7390,"10,178.58","1,221.48","11,400.06"
,3194836,19 Sep 2024,"1,587.63",UPI,426326508581,false,,7412,"19,062.00","2,181.62","21,243.63"
,3234905,21 Sep 2024,870.98,UPI,463111697766,false,,7428,829.50,41.48,870.98
,3232209,21 Sep 2024,129.58,UPI,426544768476,false,,7430,"13,171.25","1,505.30","14,676.58"
,3230286,22 Sep 2024,"9,896.22",UPI,463268990763,false,,7436,"8,976.96",919.26,"9,896.22"
,3225582,22 Sep 2024,"4,798.02",UPI,426610789259,false,,7438,"4,283.93",514.08,"4,798.02"
,3237907,22 Sep 2024,"7,688.53",UPI,463223493812,false,,7439,"6,864.74",823.78,"7,688.53"
,3231398,23 Sep 2024,66.15,UPI,426789192178,false,,7447,63.00,3.14,66.15
,3239087,24 Sep 2024,"3,762.90",UPI,426826795080,false,,7456,"3,359.73",403.18,"3,762.90"
,3250406,26 Sep 2024,"8,288.00",UPI,427099170558,false,,7469,"7,400.00",888.00,"8,288.00"
,3212384,27 Sep 2024,"3,996.91",UPI,427139452700,false,`,7481,"3,576.52",420.40,"3,996.91"
,3226871,28 Sep 2024,"5,222.17",UPI,427275444065,false,,7484,"4,685.92",536.26,"5,222.17"
,3227130,28 Sep 2024,"1,466.39",UPI,427293701974,false,,7491,"1,396.50",69.86,"1,466.39"
,3216360,29 Sep 2024,"5,262.47",UPI,427392237118,false,,7502,"4,698.63",563.84,"5,262.47"
,3209157,29 Sep 2024,463.05,UPI,427314734569,false,,7503,"3,291.00",364.06,"3,655.07"
,3233412,30 Sep 2024,"1,041.90",UPI,427487010847,false,,7508,"4,952.25",524.84,"5,477.11"
702,3190425,07 Sep 2024,"3,000.00",UPI,461729624682,false,,7306,"11,614.71","1,393.82","13,008.50"
,,,"160,039.20",UPI,,,,,,,
,,,,,,,,,,,
,3178599,02 Sep 2024,30.00,TCS,Casa2 Stays Private Limited,false,,7257,"6,000.00",720.00,"6,720.00"
,3178582,02 Sep 2024,27.50,TCS,Casa2 Stays Private Limited,false,,7258,"5,500.00",660.00,"6,160.00"
,,,57.50,TCS,,,,,,,
